country_code,agent_id,distributor_email
AX,,
AL,,
DZ,,
AS,,
AD,1768be3b-bc0d-44cd-ae56-2cf795045b10,info@holidaygolf.com
AO,,
AI,,
AQ,,
AG,,
AR,1768be3b-bc0d-44cd-ae56-2cf795045b10,diegoriera@rieragolf.com.ar
AM,1768be3b-bc0d-44cd-ae56-2cf795045b10,diegoriera@rieragolf.com.ar
AW,,
AU,1768be3b-bc0d-44cd-ae56-2cf795045b10,info@golfworks.com.au
AT,,office@golftech.at
AZ,,
BS,,
BH,,
BD,,
BB,,
BY,,
BE,1768be3b-bc0d-44cd-ae56-2cf795045b10,info@buvasport.com
BZ,,
BJ,,
BM,,
BT,,
BO,,
BQ,,
BA,,
BW,,
BV,,
BR,,
IO,,
BN,1768be3b-bc0d-44cd-ae56-2cf795045b10,golf@vinsportinghouse.com
BG,1768be3b-bc0d-44cd-ae56-2cf795045b10,marcin@mmgolf.eu
BF,,
BI,,
KH,,
CM,,
CA,1768be3b-bc0d-44cd-ae56-2cf795045b10,sales@gandg.ca
CV,,
KY,,
CF,,
TD,,
CL,1768be3b-bc0d-44cd-ae56-2cf795045b10,martin.concha@interadi.cl
CN,,
CX,,
CC,,
CO,,
KM,,
CG,,
CD,,
CK,,
CR,,
CI,,
HR,1768be3b-bc0d-44cd-ae56-2cf795045b10,sasanemanic@gmail.com
CU,,
CW,,
CY,,
CZ,1768be3b-bc0d-44cd-ae56-2cf795045b10,marcin@mmgolf.eu
DK,1768be3b-bc0d-44cd-ae56-2cf795045b10,info@sportsbackup.dk
DJ,,
DM,,
DO,,
EC,,
EG,,
SV,,
GQ,,
ER,,
EE,1768be3b-bc0d-44cd-ae56-2cf795045b10,myynti@klintrade.fi
ET,,
FK,,
FO,,
FJ,,
FI,1768be3b-bc0d-44cd-ae56-2cf795045b10,myynti@klintrade.fi
FR,1768be3b-bc0d-44cd-ae56-2cf795045b10,info@buvasport.com
GF,,
PF,,
TF,,
GA,,
GM,,
GE,,
DE,,office@golftech.at
GH,,
GI,,
GR,,
GL,,
GD,,
GP,,
GU,,
GT,,
GG,,
GN,,
GW,,
GY,,
HT,,
HM,,
VA,,
HN,,
HK,,
HU,1768be3b-bc0d-44cd-ae56-2cf795045b10,golfhungary@yahoo.com
IS,1768be3b-bc0d-44cd-ae56-2cf795045b10,info@golfskalinn.is
IN,1768be3b-bc0d-44cd-ae56-2cf795045b10,ateet@trinitygolfindia.com
ID,1768be3b-bc0d-44cd-ae56-2cf795045b10,golf@vinsportinghouse.com
IR,,
IQ,,
IE,fb403418-626b-4ed1-abb4-fca4b7fe9d67,uk@bigmaxgolf.com
IM,,
IL,,
IT,1768be3b-bc0d-44cd-ae56-2cf795045b10,info@rappresentanzegb.it
JM,,
JP,1768be3b-bc0d-44cd-ae56-2cf795045b10,sports.info@josawa.co.jp
JE,,
JO,,
KZ,,
KE,,
KI,,
KP,,
KR,,
KW,,
KG,,
LA,,
LV,,
LB,,
LS,,
LR,,
LY,,
LI,,
LT,,
LU,1768be3b-bc0d-44cd-ae56-2cf795045b10,info@buvasport.com
MO,,
MK,,
MG,,
MW,,
MY,,
MV,,
ML,,
MT,,
MH,,
MQ,,
MR,,
MU,,
YT,,
MX,1768be3b-bc0d-44cd-ae56-2cf795045b10,diegoriera@rieragolf.com.ar
FM,,
MD,,
MC,,
MN,,
ME,,
MS,,
MA,,
MZ,,
MM,,
3774defe67c5,,
NR,,
NP,,
NL,1768be3b-bc0d-44cd-ae56-2cf795045b10,info@buvasport.com
NC,,
NZ,,
NI,,
NE,,
NG,,
NU,,
NF,,
MP,,
NO,1768be3b-bc0d-44cd-ae56-2cf795045b10,Post@chrisco.no
OM,,
PK,,
PW,,
PS,,
PA,,
PG,,
PY,,
PE,,
PH,1768be3b-bc0d-44cd-ae56-2cf795045b10,contact@equip-golf.com
PN,,
PL,1768be3b-bc0d-44cd-ae56-2cf795045b10,marcin@mmgolf.eu
PT,1768be3b-bc0d-44cd-ae56-2cf795045b10,info@holidaygolf.com
PR,,
QA,,
RE,,
RO,1768be3b-bc0d-44cd-ae56-2cf795045b10,marcin@mmgolf.eu
RU,,
RW,,
BL,,
SH,,
KN,,
LC,,
MF,,
PM,,
VC,,
WS,,
SM,,
ST,,
SA,,
SN,,
RS,1768be3b-bc0d-44cd-ae56-2cf795045b10,sasanemanic@gmail.com
SC,,
SL,,
SG,1768be3b-bc0d-44cd-ae56-2cf795045b10,golf@vinsportinghouse.com
SX,,
SK,1768be3b-bc0d-44cd-ae56-2cf795045b10,marcin@mmgolf.eu
SI,1768be3b-bc0d-44cd-ae56-2cf795045b10,sasanemanic@gmail.com
SB,,
SO,,
ZA,1768be3b-bc0d-44cd-ae56-2cf795045b10,pietvdh@morecorp.co.za
GS,,
SS,,
